id_cadru,id_subgrupa,topic,id
529,368,Matematici aplicate in economie,1
353,368,Management,2
526,368,Contabilitate,3
453,368,Economie 2,4
391,368,Informatică,5
207,368,Pedagogie I,6
529,699,Matematici aplicate in economie,7
353,699,Management,8
526,699,Contabilitate,9
453,699,Economie 2,10
391,699,Informatică,11
207,699,Pedagogie I,12
529,2229,Matematici aplicate in economie,13
353,2229,Management,14
526,2229,Contabilitate,15
453,2229,Economie 2,16
391,2229,Informatică,17
207,2229,Pedagogie I,18
529,964,Matematici aplicate in economie,19
353,964,Management,20
526,964,Contabilitate,21
453,964,Economie 2,22
391,964,Informatică,23
207,964,Pedagogie I,24
529,1204,Matematici aplicate in economie,25
353,1204,Management,26
526,1204,Contabilitate,27
453,1204,Economie 2,28
391,1204,Informatică,29
207,1204,Pedagogie I,30
529,702,Matematici aplicate in economie,31
353,702,Management,32
526,702,Contabilitate,33
453,702,Economie 2,34
391,702,Informatică,35
207,702,Pedagogie I,36
389,372,Marketing internaţional,37
528,372,Managementul calitatii,38
810,372,Comerţ electronic,39
540,372,Management financiar,40
540,372,Economie monetară şi financiară,41
531,372,Pieţe de capital,42
342,372,Tehnici şi operaţiuni bancare,43
389,2350,Marketing internaţional,44
528,2350,Managementul calitatii,45
810,2350,Comerţ electronic,46
540,2350,Management financiar,47
540,2350,Economie monetară şi financiară,48
531,2350,Pieţe de capital,49
342,2350,Tehnici şi operaţiuni bancare,50
389,1202,Marketing internaţional,51
528,1202,Managementul calitatii,52
810,1202,Comerţ electronic,53
540,1202,Management financiar,54
540,1202,Economie monetară şi financiară,55
531,1202,Pieţe de capital,56
342,1202,Tehnici şi operaţiuni bancare,57
206,1202,Didactica specialităţii,58
389,2351,Marketing internaţional,59
528,2351,Managementul calitatii,60
810,2351,Comerţ electronic,61
540,2351,Management financiar,62
540,2351,Economie monetară şi financiară,63
531,2351,Pieţe de capital,64
342,2351,Tehnici şi operaţiuni bancare,65
206,2351,Didactica specialităţii,66
353,376,Tranzactii si tehnici comerciale,67
380,376,Contabilitate managerială,68
523,376,Fiscalitate,69
539,376,Contabilitatea grupurilor de societăţi,70
377,376,Baze de date,71
532,376,Etică în afaceri,72
384,376,Managementul producţiei,73
353,2352,Tranzactii si tehnici comerciale,74
380,2352,Contabilitate managerială,75
523,2352,Fiscalitate,76
539,2352,Contabilitatea grupurilor de societăţi,77
377,2352,Baze de date,78
532,2352,Etică în afaceri,79
384,2352,Managementul producţiei,80
353,1118,Tranzactii si tehnici comerciale,81
380,1118,Contabilitate managerială,82
523,1118,Fiscalitate,83
539,1118,Contabilitatea grupurilor de societăţi,84
377,1118,Baze de date,85
532,1118,Etică în afaceri,86
384,1118,Managementul producţiei,87
353,2353,Tranzactii si tehnici comerciale,88
380,2353,Contabilitate managerială,89
523,2353,Fiscalitate,90
539,2353,Contabilitatea grupurilor de societăţi,91
377,2353,Baze de date,92
532,2353,Etică în afaceri,93
384,2353,Managementul producţiei,94
529,378,Matematici aplicate in economie,95
353,378,Management,96
171,378,Marketing,97
453,378,Economie 2,98
1032,378,Contabilitate,99
529,735,Matematici aplicate in economie,100
353,735,Management,101
171,735,Marketing,102
453,735,Economie 2,103
1032,735,Contabilitate,104
380,381,Contabilitate financiară,105
389,381,Marketing internaţional,106
531,381,Economie si politici internationale,107
530,381,Analiză economico-financiară,108
436,381,Statistică,109
206,381,Didactica specialităţii,110
380,1212,Contabilitate financiară,111
389,1212,Marketing internaţional,112
531,1212,Economie si politici internationale,113
530,1212,Analiză economico-financiară,114
436,1212,Statistică,115
206,1212,Didactica specialităţii,116
419,383,Asigurări internaţionale,117
581,383,Gestiunea crizelor,118
397,383,Investiţii internaţionale,119
172,383,Negociere in afaceri internationale,120
453,383,Geopolitică,121
534,383,Burse internationale de marfuri,122
206,383,Managementul clasei de elevi,123
419,1214,Asigurări internaţionale,124
581,1214,Gestiunea crizelor,125
397,1214,Investiţii internaţionale,126
172,1214,Negociere in afaceri internationale,127
453,1214,Geopolitică,128
534,1214,Burse internationale de marfuri,129
206,1214,Managementul clasei de elevi,130
138,29,Arhitectura calculatoarelor,131
31,29,Electrotehnică,132
20,29,Matematici speciale,133
808,29,Programarea calculatoarelor şi limbaje de programare II,134
410,29,Fizică I,135
149,29,Pedagogie I,136
138,30,Arhitectura calculatoarelor,137
31,30,Electrotehnică,138
20,30,Matematici speciale,139
808,30,Programarea calculatoarelor şi limbaje de programare II,140
410,30,Fizică I,141
138,921,Arhitectura calculatoarelor,142
31,921,Electrotehnică,143
20,921,Matematici speciale,144
808,921,Programarea calculatoarelor şi limbaje de programare II,145
410,921,Fizică I,146
13,39,Electronică digitală,147
11,39,Circuite electronice liniare II,148
14,39,Teoria sistemelor II,149
36,39,Masurari si Traductoare,150
877,39,Limbaje de asamblare,151
19,39,Metode numerice,152
183,39,Didactica specializării,153
13,38,Electronică digitală,154
11,38,Circuite electronice liniare II,155
14,38,Teoria sistemelor II,156
36,38,Masurari si Traductoare,157
877,38,Limbaje de asamblare,158
19,38,Metode numerice,159
183,38,Didactica specializării,160
18,47,Prelucrarea semnalelor,161
136,47,Sisteme de conducere a proceselor tehnologice,162
11,47,Echipamente de automatizare electrice și electronice,163
70,47,Baze de date,164
43,47,Mașini electrice și acționări,165
19,47,Optimizări,166
18,924,Prelucrarea semnalelor,167
136,924,Sisteme de conducere a proceselor tehnologice,168
11,924,Echipamente de automatizare electrice și electronice,169
70,924,Baze de date,170
43,924,Mașini electrice și acționări,171
19,924,Optimizări,172
13,53,Circuite logice programabile,173
135,53,Circuite logice programabile,174
114,53,Internetul obiectelor,175
136,53,Fiabilitate şi diagnoză,176
19,53,Automate si microprogramare,177
18,53,Sisteme de comanda si reglare a actionarilor electrice,178
13,984,Circuite logice programabile,179
135,984,Circuite logice programabile,180
114,984,Internetul obiectelor,181
136,984,Fiabilitate şi diagnoză,182
19,984,Automate si microprogramare,183
18,984,Sisteme de comanda si reglare a actionarilor electrice,184
138,2329,Arhitectura calculatoarelor,185
31,2329,Electrotehnică,186
20,2329,Matematici speciale,187
808,2329,Programarea calculatoarelor şi limbaje de programare II,188
410,2329,Fizică I,189
355,385,Finanţe publice,190
541,385,Informatică,191
172,385,Management Public,192
988,385,Planificare strategica,193
342,385,Economie 2,194
207,385,Pedagogie I,195
355,970,Finanţe publice,196
541,970,Informatică,197
172,970,Management Public,198
988,970,Planificare strategica,199
342,970,Economie 2,200
207,970,Pedagogie I,201
380,387,Contabilitate financiară,202
377,387,Baze de date,203
526,387,Contabilitatea instituţiilor publice,204
355,387,Drept financiar şi fiscal,205
389,387,Managementul cunostintelor,206
349,387,Drept administrativ,207
380,1137,Contabilitate financiară,208
377,1137,Baze de date,209
526,1137,Contabilitatea instituţiilor publice,210
355,1137,Drept financiar şi fiscal,211
389,1137,Managementul cunostintelor,212
349,1137,Drept administrativ,213
353,1225,Tranzactii si tehnici comerciale,214
379,1225,Managementul IMM-urilor,215
388,1225,Metodologia elaborarii lucrarii de licenta,216
530,1225,Analiză economico-financiară,217
427,1225,Control financiar,218
349,1225,Drept constituţional. Parte generală,219
353,1226,Tranzactii si tehnici comerciale,220
379,1226,Managementul IMM-urilor,221
388,1226,Metodologia elaborarii lucrarii de licenta,222
530,1226,Analiză economico-financiară,223
427,1226,Control financiar,224
349,1226,Drept constituţional. Parte generală,225
652,1169,Interpretarea analizelor de laborator,226
652,1169,"Microbiologie (Bacteriologie,Virusologie, Parazitologie)",227
652,1169,Igiena,228
843,1169,Biologie celulară și moleculară,229
1124,1169,Fiziologie,230
995,1169,Comunicare medicala,231
367,1169,Anatomie patologica,232
652,1170,Interpretarea analizelor de laborator,233
652,1170,"Microbiologie (Bacteriologie,Virusologie, Parazitologie)",234
652,1170,Igiena,235
843,1170,Biologie celulară și moleculară,236
1124,1170,Fiziologie,237
995,1170,Comunicare medicala,238
367,1170,Anatomie patologica,239
652,2038,Interpretarea analizelor de laborator,240
652,2038,"Microbiologie (Bacteriologie,Virusologie, Parazitologie)",241
652,2038,Igiena,242
843,2038,Biologie celulară și moleculară,243
1124,2038,Fiziologie,244
995,2038,Comunicare medicala,245
367,2038,Anatomie patologica,246
207,2038,Pedagogie 1,247
652,1172,Interpretarea analizelor de laborator,248
652,1172,"Microbiologie (Bacteriologie,Virusologie, Parazitologie)",249
652,1172,Igiena,250
843,1172,Biologie celulară și moleculară,251
1124,1172,Fiziologie,252
995,1172,Comunicare medicala,253
367,1172,Anatomie patologica,254
207,1172,Pedagogie 1,255
652,2315,Interpretarea analizelor de laborator,256
