id,name,shortName,buildingName,capacitate,computers
0,,,0,0,0
8,C001,C001,C,42,0
9,C002,C002,C,42,0
10,C004,C004,C,21,0
11,C005,C005,C,21,0
12,C007,C007,C,0,0
13,C101,C101,C,30,0
14,C102,C102,C,29,0
15,C103,C103,C,30,0
16,C104,C104,C,21,0
17,C105,C105,C,21,0
19,C107,C107,C,21,0
20,C108,C108,C,0,0
21,C109,C109,C,19,0
22,C201,C201,C,28,0
23,C202,C202,C,28,0
24,C203,C203,C,28,0
25,C204,C204,C,21,0
26,C205,C205,C,0,0
27,C206,C206,C,0,0
28,C207,C207,C,21,14
29,C208,C208,C,0,0
30,C209,C209,C,19,0
31,C301,C301,C,28,0
32,C302,C302,C,28,0
33,C303,C303,C,28,0
34,C304,C304,C,21,0
35,C305,C305,C,21,0
37,C307,C307,C,0,0
38,D001,D001,D,0,0
39,D002,D002,D,0,0
40,D003,D003,D,0,0
41,D004,D004,D,0,0
43,D005,D005,D,0,0
44,D006,D006,D,18,0
45,D007,D007,D,14,0
46,D008,D008,D,14,0
47,D009,D009,D,14,0
48,D011,D011,D,21,0
49,D101,D101,D,36,0
51,D103,D103,D,0,0
52,D104a,D104a,D,0,0
53,D105,D105,D,0,0
54,D106,D106,D,14,0
55,D107,D107,D,14,0
56,D108,D108,D,0,0
57,D109,D109,D,0,0
58,D111,D111,D,0,0
60,D205,D205,D,14,0
61,D207,D207,D,0,0
63,amf. Dragomir Hurmuzescu,D Amf. DH,D,36,0
65,amf. Nicolae Boţan,D Amf. NB,D,36,0
66,amf. Remus Radulet,D Amf. RR,D,36,0
70,A018 Laborator Gamificarea Ed,A018,A,12,0
71,A022 Centru Resurse ET,A022,A,20,0
72,C306,C306,C,21,0
73,Amf. Emanuel Diaconescu,FIM2,B,0,0
74,B302 Tehnica dentara-Protetica,B302,B,0,0
81,ED004,ED004,E,0,0
82,E213,E213,E,0,0
83,E210,E210,E,0,0
84,E205,E205,E,0,0
85,E223,E223,E,0,0
90,B304,B304,B,0,0
92,B305 Laborator Fizica,B305 Lab Fiz,B,0,0
93,B307 Sala Curs,B307 Sala Curs,B,0,0
94,B310 Sala Curs,B310 Sala Curs,B,0,0
95,FIM B312,B312,B,0,0
96,B006 Laborator Mec Fluide,B006 Lab MF,B,0,0
97,B008 Laborator Termotehnica,B008 Lab TMT,B,0,0
102,B209 Laborator Mecanica,B209 Lab Mec,B,0,0
104,B213 Laborator Rezistenta,B213 Lab RM,B,0,0
106,B202 Laborator Desen Tehnic,B202 Lab DT+GD,B,0,0
107,B301 Tehnica dentara-protetica,B301,B,0,0
108,B303 Laborator microbiologie,B303,B,0,0
110,B308 Laborator Sisteme Mecatr,B308 Lab SMCT,B,0,0
111,B309 Laborator Proiectare Asis,B309 Lab PAC+MN,B,0,0
112,Laborator TM,Lab TM,B,0,0
113,Laborator ROBOTI,Lab Roboti,B,0,0
115,ED001,ED001,E,0,0
116,E209,E209,E,0,0
117,Obs2 Lab. Testare Psihologică,Obs.2,Obs.,0,0
118,G101,G101,G,0,0
120,B101 Nutriție și Metabolism,B101,B,0,0
122,B011 Laborator Dispozitive ,B011 Lab DispTeh,B,0,0
123,B012 Laborator Prelucr def,B012 Lab PDPR,B,0,0
124,B013 Laborator Tehn de Fabr,B013 Lab TehnFab,B,0,0
125,B014 Laborator Concep Fabr,B014 Lab CFAC,B,0,0
126,B005 Laborator TT,B005 LabTT,B,0,0
128,B203 Laborator Stiinta IngMat ,B203 Lab SIM,B,0,0
129,Sala sport,S. Sport,Sala,0,0
130,C003,C003,C,21,0
132,Obs. 1 - Sală mare,Obs.1,Obs.,0,0
133,B007 Laborator Masini Unelte,B007 Lab MU,B,0,0
135,Amf E129,E Amf E129,E,0,0
136,E230,E230,E,0,0
137,A114 (A53),A114,A,0,0
140,A121 - laborator,A121,A,0,0
141,E206,E206,E,0,0
144,Sala Club,Sala Club,Camin,0,0
147,Sala Stadion Areni,Sala Areni,A,0,0
150,E216,E216,E,0,0
151,Teren  sintetic,T.S.,,0,0
153,E003,E003,E,0,0
154,Lectoratul Francez,A120,A,20,0
155,E219,E219,E,0,0
156,E005,E005,E,31,0
157,E006,E006,E,0,0
158,B201 Laborator Infografica,B201 Lab GAC+IG,B,0,0
159,A20,A20,A,0,0
160,K102 Laborator fizioterapie,K102,K,0,0
162,amf. Dimitrie Leonida,D Amf. DL,D,43,0
163,Laborator Limbi Moderne,A108,A,20,0
164,Sala Eugeniu Coşeriu,A111,A,60,0
165,A024,A024,A,0,0
167,Amfiteatrul Eugen Lovinescu,A115,A,110,0
168,Laborator Multimedia ProLang,A119,A,20,0
169,Lectoratul Italian,A122,A,20,0
170,Lectoratul Spaniol,A203,A,0,0
172,Sala Studii Anglo-Americane,A206,A,40,0
173,Centrul de Reusita Universitar,A302,A,0,0
174,Laborator Media,LB2,,20,0
176,Sală An pregătitor,LB1,,20,0
178,Lectoratul German,A204,A,0,0
