id,type,facultyId,specializationShortName,studyYear,groupName,subgroupIndex,isModular,orarId
29,1,1,AIA,1,3211,a,0,9
30,1,1,AIA,1,3211,b,0,9
921,1,1,AIA,1,3212,a,0,9
39,1,1,AIA,2,3221,a,0,10
38,1,1,AIA,2,3221,b,0,10
47,1,1,AIA,3,3231,a,0,11
924,1,1,AIA,3,3231,b,0,11
53,1,1,AIA,4,3241,a,0,12
984,1,1,AIA,4,3241,b,0,12
2329,1,1,AIA_DUAL,1,grupa1,a,0,9
20,1,1,C,1,3111,a,0,9
21,1,1,C,1,3111,b,0,9
23,1,1,C,1,3112,a,0,9
24,1,1,C,1,3112,b,0,9
831,1,1,C,1,3113,a,0,9
1028,1,1,C,1,3113,b,0,9
933,1,1,C,1,3114,a,0,9
1261,1,1,C,1,3114,b,0,9
33,1,1,C,2,3121,a,0,10
34,1,1,C,2,3121,b,0,10
35,1,1,C,2,3122,a,0,10
36,1,1,C,2,3122,b,0,10
884,1,1,C,2,3123,a,0,10
936,1,1,C,2,3123,b,0,10
1086,1,1,C,2,3124,a,0,10
2330,1,1,C,2,3124,b,0,10
43,1,1,C,3,3131,a,0,11
44,1,1,C,3,3131,b,0,11
46,1,1,C,3,3132,a,0,11
1030,1,1,C,3,3133,a,0,11
937,1,1,C,3,3133,b,0,11
749,1,1,C,3,3134,a,0,11
49,1,1,C,4,3141,a,0,12
50,1,1,C,4,3141,b,0,12
51,1,1,C,4,3142,a,0,12
2333,1,1,C,4,3142,b,0,12
1090,1,1,C,4,3143,a,0,12
938,1,1,C,4,3143,b,0,12
2334,1,1,C,4,3143,c,0,12
2182,1,1,C_DUAL,1,grupa1,a,0,9
2328,1,1,C_DUAL,1,grupa1,b,0,9
2241,3,1,Conv. TIC,1,grupa TIC1,,1,320
2289,3,1,Conv. TIC,2,grupa TIC2,,1,328
57,1,1,EN,1,3411,a,0,13
2170,1,1,EN,1,3411,b,0,13
63,1,1,EN,2,3421,a,0,14
68,1,1,EN,3,3431,a,0,15
2259,1,1,ESCCA,1,3611,a,0,13
2015,1,1,ESCCA,1,3611,b,0,13
2083,1,1,ESCCA,2,3621,a,0,14
2172,1,1,ESCCA,3,3631,a,0,15
2262,1,1,ESCCA,4,3641,a,0,16
2013,1,1,ESM,1,31011,a,0,13
2335,1,1,ESM,1,31011,b,0,13
2082,1,1,ESM,2,31021,a,0,14
2171,1,1,ESM,3,31031,a,0,15
2261,1,1,ESM,4,31041,a,0,16
31,1,1,ETTI,1,3311,a,0,9
32,1,1,ETTI,1,3311,b,0,9
2183,1,1,ETTI,1,3312,a,0,9
41,1,1,ETTI,2,3321,a,0,10
2256,1,1,ETTI,2,3321,b,0,10
2239,1,1,FIESC - CR,1,AIA+EA,,0,9
2138,1,1,FIESC - CR,1,C,1,0,9
2153,1,1,FIESC - CR,1,C,2,0,9
2142,1,1,FIESC - CR,1,grupa1,,0,13
2151,1,1,FIESC - CR,2,AIA,,0,10
