id,shortName,longName
1,FIESC,Facultatea de Inginerie Electrică şi Ştiinţa Calculatoarelor
2,FIMAR,"Facultatea de Inginerie Mecanică, Autovehicule şi Robotică"
3,FEFS,Facultatea de Educaţie Fizică şi Sport
4,FIA,Facultatea de Inginerie Alimentară
5,FIG,"Facultatea de Istorie, Geografie și Științe Sociale"
6,FLSC,Facultatea de Litere şi Ştiinţe ale Comunicării
7,FS,Facultatea de Silvicultură
8,FEAA,"Facultatea de Economie, Administrație și Afaceri"
9,FSE,Facultatea de Ştiinţe ale Educaţiei
10,FDSA,Facultatea de Drept şi Ştiinţe Administrative
20,DSPP,Departamentul de Specialitate cu Profil Psihopedagogic
21,FMSB,Facultatea de Medicină și Științe Biologice
22,CSUD,Consiliul pentru Studiile Universitare de Doctorat
